targets,layer,filename,fld_value,units,name,description,layer_gl,path_in,fld_id_num,fld_id_chr,fld_category,fld_year,fld_val_num,fld_val_chr,file_exists,year_min,year_max,val_min,val_max,val_0to1,flds_unused,flds_missing,rows_duplicated,num_ids_unique,data_na
AO,ao_access,ao_access_mhi2017.csv,value,scaled 0-1,Artisanal fisheries management effectiveness and opportunity,The opportunity for artisanal and recreational fishing based on the quality of management of the small-scale fishing sector,ao_access,~/github/mhi/region2017/layers/ao_access_gl2016.csv,rgn_id,,,,value,,TRUE,,,0.632,0.632,TRUE,,,,2,FALSE
AO,ao_access_mhi2017,ao_access_mhi2017_mhi2017.csv,value,access pt per km,Shoreline access points per km of coastline,Shoreline access points per km of coastline,ao_access_mhi2017,~/github/mhi/region2017/layers/ao_access_mhi2017.csv,rgn_id,,shoreline_access,,value,,TRUE,,,0.331927303,0.331927303,TRUE,"shoreline_area_km,shoreline_mile",,,2,FALSE
AO,ao_need,ao_need_mhi2017.csv,percent,percent,"Social, subsistence need for artisanal fishing",The number of households that fish.,ao_need,~/github/mhi/region2017/layers/ao_need_mhi2017.csv,rgn_id,,,year,percent,,TRUE,2004,2013,9.69877524,14.67862481,FALSE,,,,2,FALSE
AO,ao_residents,ao_residents_mhi2017.csv,value,resident population,resident population,County resident population,ao_residents,~/github/mhi/region2017/layers/ao_residents_mhi2017.csv,rgn_id,,,year,value,,TRUE,2000,2015,149244,196428,FALSE,,,,2,FALSE
AO,ao_resource,ao_resource_mhi2017.csv,value,biomass,Biomass of resource fish,,ao_resource,~/github/mhi/region2017/layers/ao_resource_mhi2017.csv,rgn_id,,trend,,value,,TRUE,,,66,66,FALSE,,,,2,FALSE
CON,r_parks,r_parks_mhi2017.csv,number,number,Number of coastal parks,"Number of coastal parks (county beach parks, national parks, and state parks)",r_parks,~/github/mhi/region2017/layers/r_parks_mhi2017.csv,rgn_id,,,,number,,TRUE,,,36,36,FALSE,,,,2,FALSE
CON,r_participation,r_participation_mhi2017.csv,rate,rate,Participation rate in any ocean activity,Participation rate in any ocean activity,r_participation,~/github/mhi/region2017/layers/r_participation_mhi2017.csv,rgn_id,,activity,year,rate,,TRUE,2016,2016,0.31,0.92,TRUE,"note,x6,x7,x8,x9,x10",,,2,FALSE
CON,r_residents,r_residents_mhi2017.csv,value,value,resident population,Resident population of OHI regions,r_residents,~/github/mhi/region2017/layers/r_residents_mhi2017.csv,rgn_id,,,year,value,,TRUE,2011,2015,186961,196428,FALSE,,,,2,FALSE
CON,r_shoreline,r_shoreline_mhi2017.csv,km,km,Length of shoreline,Length of shoreline,r_shoreline,~/github/mhi/region2017/layers/r_shoreline_mhi2017.csv,rgn_id,,,,km,,TRUE,,,640,640,FALSE,,,,2,FALSE
CP,cp_hab_condition_mhi2017,cp_hab_condition_mhi2017_mhi2017.csv,health,health,"Habitat health: coral reefs, wetlands, beaches",Condition of habitats specific tohabitat,cp_hab_condition_mhi2017,~/github/mhi/region2017/layers/cp_hab_condition_mhi2017.csv,rgn_id,,habitat,,health,,TRUE,,,0.25,0.81,TRUE,x4,,,2,FALSE
CP,cp_hab_extent_whi2018,cp_hab_extent_whi2018.csv,km2,km2,Habitat extent,"Area of coastal protection habitats: reef, wetlands, beaches",cp_hab_extent_mhi2017,~/github/mhi/region2017/layers/cp_hab_extent_whi2018.csv,rgn_id,,habitat,,km2,,TRUE,,,0.1648569,238.55,FALSE,"notes,x5",,,2,FALSE
CP,cp_hab_trend_mhi2017,cp_hab_trend_mhi2017_mhi2017.csv,trend,trend,Percent change per year in habitat extent,Percent change per year in habitat extent,cp_hab_trend_mhi2017,~/github/mhi/region2017/layers/cp_hab_trend_mhi2017.csv,rgn_id,,habitat,,trend,,TRUE,,,-0.051483386,-6.00E-05,FALSE,reference,,,2,FALSE
CW,cw_chemical_trend,cw_chemical_trend_mhi2017.csv,trend,trend,Chemical pollution trend,"Modeled chemical pollution from commercial shipping traffic, ports and harbors, and pesticide use",cw_chemical_trend,~/github/mhi/region2017/layers/cw_chemical_trend_gl2016.csv,rgn_id,,,,trend,,TRUE,,,0.0067,0.0067,TRUE,,,,2,FALSE
CW,cw_nutrient_trend,cw_nutrient_trend_mhi2017.csv,trend,trend,Nutrient pollution trend,Modeled data based on fertilizer consumption as a proxy for nutrient pollution,cw_nutrient_trend,~/github/mhi/region2017/layers/cw_nutrient_trend_gl2016.csv,rgn_id,,,,trend,,TRUE,,,0.0579,0.0579,TRUE,,,,2,FALSE
CW,cw_pathogen_trend,cw_pathogen_trend_mhi2017.csv,trend,trend,Pathogen pollution trend,Trends in percent of population without access to improved sanitation facilities as a proxy for pathogen pollution,cw_pathogen_trend,~/github/mhi/region2017/layers/cw_pathogen_trend_gl2016.csv,rgn_id,,,,trend,,TRUE,,,0,0,TRUE,,,,2,FALSE
CW,cw_trash_trend,cw_trash_trend_mhi2017.csv,trend,trend,Plastic trash trends,Trends in trash estimated using improperly disposed of plastics,cw_trash_trend,~/github/mhi/region2017/layers/cw_trash_trend_gl2016.csv,rgn_id,,,,trend,,TRUE,,,0.074303619,0.074303619,TRUE,,,,2,FALSE
CW pressure,cw_po_lbsp_nosds_bil,cw_po_lbsp_nosds_bil_mhi2017.csv,mean,scaled 0-1,Clean water pressure from landbased source of pollution pathogens,Onsite waste disposal systems (ODSD) as proxy of nitrogen flux to the nearshore water.,cw_po_lbsp_nosds_bil,~/github/mhi/region2017/layers/po_lbsp_nosds_bil_mhi2017.csv,rgn_id,,,,mean,,TRUE,,,0.005922086,0.005922086,TRUE,,,,2,FALSE
CW pressure,cw_po_lbsp_sed,cw_po_lbsp_sed_mhi2017.csv,mean,scaled 0-1,Clean water pressure from land-based sediment export to nearshore water,"Falinski (2016) customized, parameterized, calibrated, and ran the Integrated Valuation of Ecosystem Services and Tradeoffs (InVEST) model for sediment delivery for each of the eight Main Hawaiian Islands. This model predicts the average annual amount of sediment (tons/yr) exported from each map pixel as a function of land use/land cover, soil characteristics, rainfall, slope, geology, and hydrology.",cw_po_lbsp_sed,~/github/mhi/region2017/layers/po_lbsp_sed_mhi2017.csv,rgn_id,,,,mean,,TRUE,,,0.034306367,0.034306367,TRUE,,,,2,FALSE
CW pressure,cw_po_lbspaggolfrunoff,cw_po_lbspaggolfrunoff_mhi2017.csv,mean,scaled 0-1,Clean water pressure from land-based source of pollution from aggriculture and golf courses,"Proxy for agricultural and landscaping runoff (nutrients from fertilizers; chemicals like pesticides and herbicides), calculated as the area of agricultural land and golf courses by watershed",cw_po_lbspaggolfrunoff,~/github/mhi/region2017/layers/po_lbspaggolfrunoff_mhi2017.csv,rgn_id,,,,mean,,TRUE,,,0.042465215,0.042465215,TRUE,,,,2,FALSE
CW pressure,cw_po_lbspurbanrunoff,cw_po_lbspurbanrunoff_mhi2017.csv,mean,scaled 0-1,Clean water pressure from land-based source of pollution from urban runoff,Proxy for nutrient and chemical pollution,cw_po_lbspurbanrunoff,~/github/mhi/region2017/layers/po_lbspurbanrunoff_mhi2017.csv,rgn_id,,,,mean,,TRUE,,,0.043632704,0.043632704,TRUE,,,,2,FALSE
CW pressure,cw_po_marinedebris,cw_po_marinedebris_mhi2017.csv,mean,scaled 0-1,Clean water pressure from marine debris,State of Hawaii Division of Aquatic Resources aerial imagery of marine debris from 2015.,cw_po_marinedebris,~/github/mhi/region2017/layers/po_marinedebris_mhi2017.csv,rgn_id,,,,mean,,TRUE,,,0.008969453,0.008969453,TRUE,,,,2,FALSE
CW pressure,cw_po_shipbased_shipp,cw_po_shipbased_shipp_mhi2017.csv,mean,scaled 0-1,Clean water pressure from ship-based pollution,Ship traffic layer was used as a proxy for ship-based pollution.,cw_po_shipbased_shipp,~/github/mhi/region2017/layers/po_shipbased_shipp_mhi2017.csv,rgn_id,,,,mean,,TRUE,,,0.001371659,0.001371659,TRUE,,,,2,FALSE
CW pressure,po_chemicals_3nm,po_chemicals_3nm_mhi2017.csv,pressure_score,scaled 0-1,Coastal chemical pollution,"Modeled chemical pollution from commercial shipping traffic, ports and harbors, land-based pesticide use (organic pollution), and urban runoff (inorganic pollution)",po_chemicals_3nm,~/github/mhi/region2017/layers/po_chemicals_3nm_gl2016.csv,rgn_id,,,,pressure_score,,TRUE,,,0.336175126,0.336175126,TRUE,,,,2,FALSE
CW pressure,po_nutrients_3nm,po_nutrients_3nm_mhi2017.csv,pressure_score,scaled 0-1,Coastal nutrient pollution,Modeled data based on fertilizer consumption from the Food and Agricultural Organization,po_nutrients_3nm,~/github/mhi/region2017/layers/po_nutrients_3nm_gl2016.csv,rgn_id,,,,pressure_score,,TRUE,,,0.118426612,0.118426612,TRUE,,,,2,FALSE
CW pressure,po_pathogens,po_pathogens_mhi2017.csv,pressure_score,scaled 0-1,Pathogen pollution,Percent of population without access to improved sanitation facilities as a proxy for pathogen pollution,po_pathogens,~/github/mhi/region2017/layers/po_pathogens_gl2016.csv,rgn_id,,,,pressure_score,,TRUE,,,0.002031,0.003793,TRUE,,,,2,FALSE
CW pressure,po_trash,po_trash_mhi2017.csv,pressure_score,scaled 0-1,Marine plastics,Global marine plastics,po_trash,~/github/mhi/region2017/layers/po_trash_gl2016.csv,rgn_id,,,,pressure_score,,TRUE,,,0.395739373,0.395739373,TRUE,,,,2,FALSE
FIS,fis_b_bmsy,fis_b_bmsy_mhi2017.csv,bbmsy,B/Bmsy,B/Bmsy estimates obtained using RAM data (when available) and the catch-MSY method,The ratio of fish population abundance compared to the abundance required to deliver maximum sustainable yield,fis_b_bmsy,~/github/mhi/region2017/layers/fis_b_bmsy_gl2016.csv,rgn_id,,stock_id,year,bbmsy,,TRUE,2001,2010,0.0154,8.96,FALSE,,,,2,FALSE
