Goal,Subgoal,Data Layer,Name,File,Brief Description,Metadata,Start Year,End Year,Reference,url,bib,bib2
AO,,access to boat launch,res_access_boat,res_boat_access_whi2018.csv,The distance to the nearest boat launch within state waters (3nm).,"The mean distance to the nearest boat launch within state waters (3nm) where fishing is allowed. Mean distance (m) to the nearest boating facility (small boat harbors and launch ramps) within different study areas. Distance was calculated using the cost allocation tool at 100m resolution where land pixels have prohibitive cost and therefore travel is only possible over water. Full no-take MPAs, MPAs that do not all boat access or boat-based fishing, and military areas were set to zero on the distance surface. Data was modified from layers used in the Ocean Tipping Points (http://www.pacioos.hawaii.edu/projects/oceantippingpoints/#data) (Wedding et al 2017).",,,Modified from Ocean Tipping Points,http://www.pacioos.hawaii.edu/projects/oceantippingpoints/#data,Wedding2017,
AO,,access to shoreline,res_shoreline_access,res_shoreline_access_whi2018.csv," Estimated fishery access land based fishing based on shoreline access (marine managed areas and military areas, type of road (paved, unpaved, private), and steepness of shoreline. ","Estimated fishery access based on shoreline access (marine managed areas and military areas, type of road (paved, unpaved, private), and steepness of shoreline. Shoreline accessibility was calculated based on the same metrics with the same categorical break values as used in the Ocean Tipping Points shore-based fishing layers: Steepness of the shoreline, type of road present within 500 m of the shoreline, and MPA boundaries. Shoreline segments classified as not accessible to fishing due to high cliffs were removed from the analysis. Therefore, all proportions of accessible or not accessible are proportions of non-cliff coastline. Full no-take areas were set to zero access. MPAs that restrict only certain gear types or species are considered accessible/open-to-fishing. Military areas were set to zero access. Data was modified from layers used in the Ocean Tipping Points (http://www.pacioos.hawaii.edu/projects/oceantippingpoints/#data) (Wedding et al 2017).",,,Modified from Ocean Tipping Points,http://www.pacioos.hawaii.edu/projects/oceantippingpoints/#data,Wedding2017,
RC,,annual participation in recreational activities,r_participation,rc_participation_whi2018.csv,"The annual participation rate in ocean and coastal activities from the NOAA Coral Reef Conservation Program 2014 socioeconomic surveys of human use, knowledge, attitudes, and perceptions in Hawaii. ",,"The monthly participation rate in ocean and coastal activities from the NOAA Coral Reef Conservation Program 2014 socioeconomic surveys of human use, knowledge, attitudes, and perceptions in Hawaii (Gorstein et al., 2018). Activity categories include: any ocean activity, beach recreation, boating, camping, canoe or kayaking, diving (scuba or free diving), snorkeling, swimming/wading, and wave riding. Data is for 2016 as this was the first year of this assessment and responses to the survey are representative for Hawaii Island. NOAA Socio-economic division began surveys to track the frequency of recreational activities in Hawai’i in 2016 and these surveys are planned to be repeated every 5-7 years. Raw data is available here: https://github.com/OHI-Science/whi/tree/master/prep_whi/SP/Eva_Schemmel_NCRMP_Hawaii_data/Hawaii. This data was obtained through a formal data request to NOAA through contact Jarrod Loerzel (jarrod.loerzel@noaa.gov). ",,NOAA Coral Reef Conservation Program ,,EdwardsPLoerzelJLevineA2014,
PRESSURE,,aquarium fishing,fis_aquarium_catch,fis_aquarium_catch_whi2018.csv,"The pressure on the nearshore from aquarium fishing estimated as the reported take to DAR, standardized to km2 of hard bottom habitat.","The pressure on the nearshore from aquarium fishing estimated as the reported take to DLNR-DAR, standardized to km2 of hard bottom habitat. Hard bottom habitat layer is from the cumulative impact mapping layers that combine hard bottom and coral reef habitats to a depth of 30 meters (Lecky, 2016).",,,Ocean Tipping Points/DLNR-DAR,http://www.pacioos.hawaii.edu/projects/oceantippingpoints/#data,Wedding2017,OTP
FP,MAR,area of active fishponds,mar_fishpond_current,mar_fishpond_current_whi2018.csv,"The area of current fishponds per West Hawaii Region region, in the process of updating this metric with KUA and TNC.","The area and number of current fishponds for each West Hawaii region. Layer prepared by Ogden Environmental Services 1994 (Ogden Environmental Services, 1994). This layer is being updated by The Nature Conservancy. The total updated number of fishponds for Hawaii Island is 53, including many different types of fishponds, and the historic number of fishponds from the 1990 study lists 138 fishponds for Hawaii Island (DHM inc et al., 1990).",2017,2017,TNC updated fishpond layer,,OgdenEnvironmentalServices1994,
TR,,average daily visitor spending,st_visitor_spending,st_visitor_spending_whi2018.csv,Annual average and percent change in daily visitor spending.,"Two metrics are provided, the annual average and percent change in daily visitor spending from 2012 to 2016. Data are pooled from the Annual Visitor Research Report (http://dbedt.hawaii.gov/visitor/visitor-research/) Table 1. Summary of Visitor Statistics. Additional detailed data comes from DBEDT state databooks section 7 “recreation and travel.” Databooks available at: http://dbedt.hawaii.gov/economic/databook/db2016/. ",2012,2016,DBEDT,http://dbedt.hawaii.gov/economic/databook/db2016/,DBEDT,
BD,HAB,beach condition,hab_health_whi,hab_health_whi2018.csv,The condition of coastal habitats measured as the percent of beaches eroding per region.,The condition of coastal habitats measured as the percent of beaches eroding per region. Data comes from a US Geological Survey of beaches in Hawai’i (Fletcher et al. 2012).,2000,2001,"Fletcher, C.H., Romine, B.M., Genz, A.S., Barbee, M.M., Dyer, Matthew, Anderson, T.R., Lim, S.C., Vitousek, Sean, Bochicchio, Christopher, and Richmond, B.M., 2012, National assessment of shoreline change: Historical shoreline change in the Hawaiian Islands: U.S. Geological Survey Open-File Report 2011_1051, 55 p. (Also available at http:// pubs.usgs.gov/of/2011/1051.)",http://pubs.usgs.gov/of/2011/1051,Fletcher2012a,
BD,HAB,beach extent,hab_extent_whi,hab_extent_whi2018.csv,"Beach extent was calculated from the from ESI GIS layer (Beaches (3,4,5 classifications)). The data units are in km not km2 like other habitats.","Beach extent was calculated from NOAA Office of Response and Restoration Environmental Sensitivity Index (ESI) Maps (https://response.restoration.noaa.gov/maps-and-spatial-data/environmental-sensitivity-index-esi-maps.html) as the total length of beaches per West Hawai’i region by summing the beach extents classified in the ESI as categories 3,4,5. The data units are in km.",2000,2001,NOAA ESI ,https://response.restoration.noaa.gov/maps-and-spatial-data/download-esi-maps-and-gis-data.html,NOAAa,
BD,HAB,beach trend,hab_trend_whi,hab_trend_whi2018.csv,"The average short-term erosion rate of beaches, estimated at -0.06 m per year.","The average short-term erosion rate of beaches, estimated at -0.06 m per year. Data comes from a US Geological Survey of beaches in Hawai’i (Fletcher et al. 2012).",,,"Fletcher, C.H., Romine, B.M., Genz, A.S., Barbee, M.M., Dyer, Matthew, Anderson, T.R., Lim, S.C., Vitousek, Sean, Bochicchio, Christopher, and Richmond, B.M., 2012, National assessment of shoreline change: Historical shoreline change in the Hawaiian Islands: U.S. Geological Survey Open-File Report 2011_1051, 55 p. (Also available at http:// pubs.usgs.gov/of/2011/1051.)",https://pubs.usgs.gov/of/2011/1051/pdf/ofr2011-1051_report_508.pdf,Fletcher2012a,
FP,FIS,bottom fisheries commercial catch,fis_deep_catch,fis_bottom_catch_whi2018.csv,Bottom fish catch (lbs.) reported in the commercial fishery.,"Bottom fish catch (lbs.) reported in the commercial fishery summarized by West Hawai’i region. Data comes from DLNR DAR by official data request. Annual catch data is reported to species and region (North West Hawaii (DAR commercial reporting blocks 123, 122, 103, and 102) and South West Hawaii (DAR commercial reporting blocks 121, 120, 101, and 100) from 2012-2017. Raw data available: https://github.com/OHI-Science/whi/blob/master/prep_whi/FIS/FW%253a_fisheries_data_request/ciwhiispecies2012_2017.xls.",,,DLNR-DAR,http://dlnr.hawaii.gov/dar/fishing/commercial-fishing/,DLNRDAR,
