layer,category,category_type,subcategory,weight
species_diversity_eez,ecological,ecosystem,ecological,1
species_diversity_3nm,ecological,ecosystem,ecological,1
sp_alien_species,ecological,regulatory,alien_species,1
g_cites,ecological,regulatory,goal,0.5
fp_mora,ecological,regulatory,fishing_pressure,1
fp_mora_artisanal,ecological,regulatory,fishing_pressure,1
tourism_experience,ecological,social,social,1
li_gci,social,social,social,1
li_sector_evenness,social,social,social,1
wgi_all,social,social,social,1
res_spi,social,social,social,1
watershed_partnerships,ecological,regulatory,habitat_destruction,1
li_economic_index,social,social,social,1
sp_OHA_culture,social,social,social,1
fp_MPA_3nm,ecological,regulatory,fishing_pressure,1
hd_MPA_3nm,ecological,regulatory,habitat_destruction,1
fp_MPA_eez,ecological,regulatory,fishing_pressure,1
hd_MPA_eez,ecological,regulatory,habitat_destruction,1
community_stewardship,ecological,regulatory,fishing_pressure,1
community_stewardship,social,social,social,1
res_hab_health,ecological,ecosystem,ecological,1
hd_watersheds,ecological,regulatory,habitat_destruction,1
