order_color,order_hierarchy,order_calculate,goal,parent,name,name_flower,description,weight,preindex_function,postindex_function
1.2,1,12,FP,,Food Provision,Food Provision,"This goal measures the amount of seafood sustainably harvested in a given region through any means for use primarily in human consumption and thus includes wild-caught commercial fisheries, mariculture, artisanal-scale and recreational fisheries.",1.5,,"FP(layers, scores)"
1.1,1.1,1,FIS,FP,Offshore Fisheries,Offshore\nFisheries,"This subgoal model aims to assess the amount of wild-caught seafood that can be sustainably harvested, with sustainability defined by multi-species yield, and with penalties assigned for both over- and under-harvesting.",0.5,FIS(layers),
1.4,1.3,2,MAR,FP,Mariculture,Mariculture,This subgoal measures the ability to obtain maximal seafood yield from farm-raised facilities without damaging the ocean's ability to continue providing fish for people in the future.,0.5,MAR(layers),
1.3,1.2,3,AO,FP,Nearshore Fisheries,Nearshore\nFisheries,"This goal captures the access people have to coastal resources, whether or not they actually take fish or harvest from coastal waters.",0.5,AO(layers),
3,3,4,CP,,Coastal Protection,Coastal\nProtection,This goal measures the amount of protection certain coastal habitats provide by measuring the current area they cover relative to the area they covered in the recent past.,1,CP(layers),
4,4,5,TR,,Sustainable Tourism,Sustainable\nTourism,This goal tracks sustainable tourism through maintaining the balance between economic growth through tourism with management and preservation of natural resources and Hawaiian culture.,1,TR(layers),
5,5,14,RC,,Sense of Place,Sense of Place,This goal aims to capture the level of protection for aspects of the coastal and marine system that contribute to a person's sense of cultural identity.,1,RC(layers),
6.2,6,13,LE,,Coastal Livelihoods & Economies,Livelihoods & Economies,This goal aims to maintain coastal and ocean-dependent livelihoods and productive coastal economies while also maximizing livelihood quality.,1,,"LE(scores, layers)"
6.1,6.1,6,LIV,LE,Livelihoods,Livelihoods,This subgoal evaluates the benefits people obtain from the oceans in the form of jobs and wages.,0.5,"LIV_ECO(layers, subgoal='LIV')",
6.3,6.2,7,ECO,LE,Economies,Economies,This subgoal captures the economic value associated with marine industries.,0.5,"LIV_ECO(layers, subgoal='ECO')",
8.2,8,15,BD,,Biodiversity,Biodiversity,This goal captures the conservation status of marine species.,1,,BD(scores)
8.1,8.1,10,HAB,BD,Habitats,Habitats,This subgoal measures the condition of habitats that are important for supporting a wide array of species diversity.,0.5,HAB(layers),
8.3,8.2,11,SPP,BD,Species,Species,This subgoal aims to estimate how successfully the richness and variety of marine life is being maintained.,0.5,SPP(layers),
